# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.095908 1.120110
0.080808 0.191816 2.224270
0.121212 0.287724 3.312479
0.161616 0.383633 4.384738
0.202020 0.479541 5.441047
0.242424 0.575449 6.481405
0.282828 0.671357 7.505813
0.323232 0.767265 8.514271
0.363636 0.863173 9.506779
0.404040 0.959081 10.483336
0.444444 1.054989 11.443943
0.484848 1.150898 12.388599
0.525253 1.246806 13.317306
0.565657 1.342714 14.230062
0.606061 1.438622 15.126867
0.646465 1.534530 16.007722
0.686869 1.630438 16.872628
0.727273 1.726346 17.721582
0.767677 1.822255 18.554587
0.808081 1.918163 19.371641
0.848485 2.014071 20.172745
0.888889 2.109979 20.957898
0.929293 2.205887 21.727101
0.969697 2.301795 22.480354
1.010101 2.397703 23.217657
1.050505 2.493611 23.939009
1.090909 2.589520 24.644411
1.131313 2.685428 25.333862
1.171717 2.781336 26.007364
1.212121 2.877244 26.664915
1.252525 2.973152 27.306516
1.292929 3.069060 27.932166
1.333333 3.164968 28.541866
1.373737 3.260877 29.135616
1.414141 3.356785 29.713415
1.454545 3.452693 30.275264
1.494949 3.548601 30.821163
1.535354 3.644509 31.351112
1.575758 3.740417 31.865110
1.616162 3.836325 32.363158
1.656566 3.932233 32.845256
1.696970 4.028142 33.311403
1.737374 4.124050 33.761600
1.777778 4.219958 34.195847
1.818182 4.315866 34.614143
1.858586 4.411774 35.016489
1.898990 4.507682 35.402885
1.939394 4.603590 35.773330
1.979798 4.699499 36.127825
2.020202 4.795407 36.466370
2.060606 4.891315 36.788965
2.101010 4.987223 37.095609
2.141414 5.083131 37.386303
2.181818 5.179039 37.661047
2.222222 5.274947 37.919840
2.262626 5.370855 38.162683
2.303030 5.466764 38.389576
2.343434 5.562672 38.600518
2.383838 5.658580 38.795510
2.424242 5.754488 38.974552
2.464646 5.850396 39.137643
2.505051 5.946304 39.284784
2.545455 6.042212 39.415975
2.585859 6.138121 39.531216
2.626263 6.234029 39.630506
2.666667 6.329937 39.713846
2.707071 6.425845 39.781235
2.747475 6.521753 39.832675
2.787879 6.617661 39.868164
2.828283 6.713569 39.887702
2.868687 6.809477 39.891291
2.909091 6.905386 39.878929
2.949495 7.001294 39.850616
2.989899 7.097202 39.806354
3.030303 7.193110 39.746141
3.070707 7.289018 39.669978
3.111111 7.384926 39.577864
3.151515 7.480834 39.469800
3.191919 7.576743 39.345786
3.232323 7.672651 39.205822
3.272727 7.768559 39.049907
3.313131 7.864467 38.878042
3.353535 7.960375 38.690227
3.393939 8.056283 38.486461
3.434343 8.152191 38.266745
3.474747 8.248099 38.031079
3.515152 8.344008 37.779462
3.555556 8.439916 37.511895
3.595960 8.535824 37.228378
3.636364 8.631732 36.928911
3.676768 8.727640 36.613493
3.717172 8.823548 36.282125
3.757576 8.919456 35.934806
3.797980 9.015365 35.571537
3.838384 9.111273 35.192318
3.878788 9.207181 34.797149
3.919192 9.303089 34.386029
3.959596 9.398997 33.958959
4.000000 9.494905 33.515939
